"archetype","read_month","read_type_of_day","read_hh","n_puprn","elec_imp_mean","elec_imp_50th","elec_imp_75th","elec_imp_25th","elec_imp_90th","elec_imp_10th","month","n_days","mean.year","p50th.year","p10th.year","p25th.year","p75th.year","p90th.year","kwh.mean","kwh.50th","kwh.10th","kwh.25th","kwh.75th","kwh.90th","persona"
"D","apr","weekend",24,80,"0.0000697","0.0000587","0.0000808","0.0000443","0.000101643","0.0000312",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.149388048335,0.125811742285,0.06687097716,0.094948214365,0.17317868444,0.21785149780365,"P1"
"D","apr","weekend",25,80,"0.0000753","0.0000665","0.0000951","0.0000465","0.000123633","0.0000354",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.161390531415,0.142529486575,0.07587283947,0.099663475575,0.203827882305,0.26498267689815,"P1"
"D","apr","weekend",26,80,"0.0000727","0.000066","0.0000957","0.0000483","0.000112058","0.0000348",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.155817949985,0.1414578363,0.07458685914,0.103521416565,0.205113862635,0.2401739730319,"P1"
"D","apr","weekend",27,80,"0.0000714","0.000063","0.0000843","0.0000472","0.00011356","0.0000329",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.15303165927,0.13502793465,0.070514588095,0.10116378596,0.180680236365,0.243393210458,"P1"
"D","apr","weekend",28,80,"0.0000655","0.0000628","0.0000819","0.0000476","0.0000945","0.0000359",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.140386186025,0.13459927454,0.076944489745,0.10202110618,0.175536315045,0.202541901975,"P1"
"D","apr","weekend",29,80,"0.0000634","0.0000602","0.0000747","0.0000393","0.0000875","0.000035",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.13588525487,0.12902669311,0.07501551925,0.084231711615,0.160104551085,0.187538798125,"P1"
"D","apr","weekend",30,80,"0.0000597","0.0000523","0.0000648","0.0000477","0.0000901","0.0000357",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.127955042835,0.112094618765,0.076515829635,0.102235436235,0.13888587564,0.193111379555,"P1"
"D","apr","weekend",31,80,"0.0000645","0.0000567","0.0000776","0.0000444","0.0000962","0.0000349",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.138242885475,0.121525141185,0.074801189195,0.09516254442,0.16632012268,0.20618551291,"P1"
"D","apr","weekend",32,80,"0.0000673","0.0000535","0.0000792","0.0000443","0.000097","0.0000365",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.144244127015,0.114666579425,0.078230470075,0.094948214365,0.16974940356,0.20790015335,"P1"
"D","apr","weekend",33,80,"0.0000659","0.0000582","0.0000797","0.0000453","0.0000974","0.0000393",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.141243506245,0.12474009201,0.084231711615,0.097091514915,0.170821053835,0.20875747357,"P1"
