"","archetype","window","month","weekend","ex.kwh.mean","ex.kwh.50th","ex.kwh.10th","ex.kwh.25th","ex.kwh.75th","ex.kwh.90th","im.kwh.mean","im.kwh.50th","im.kwh.10th","im.kwh.25th","im.kwh.75th","im.kwh.90th","mean.Q_heat_elec_in","p10.Q_heat_elec_in","p25.Q_heat_elec_in","p50.Q_heat_elec_in","p75.Q_heat_elec_in","p90.Q_heat_elec_in"
"106","ES",4.5,8,0,NA,NA,NA,NA,NA,NA,0.1970145564912,0.10014906621636,0.04569643185282,0.06621878148732,0.17348226224364,0.396765426267,NA,NA,NA,NA,NA,NA
"107","ES",5,8,0,NA,NA,NA,NA,NA,NA,0.17184047427288,0.11109431935476,0.03776112332748,0.07169140805652,0.17621857552824,0.28238753097072,NA,NA,NA,NA,NA,NA
"108","ES",5.5,8,0,NA,NA,NA,NA,NA,NA,0.1587061705068,0.11273610732552,0.045805884384204,0.06512425617348,0.1888056166374,0.30318351193368,NA,NA,NA,NA,NA,NA
"109","ES",6,8,0,NA,NA,NA,NA,NA,NA,0.20029813243272,0.10616895544248,0.041810866988688,0.06512425617348,0.18278572741128,0.44164096413444,NA,NA,NA,NA,NA,NA
"110","ES",6.5,8,0,NA,NA,NA,NA,NA,NA,0.19646729383428,0.11656694592396,0.041154151800384,0.0711441453996,0.20139265774656,0.43835738819292,NA,NA,NA,NA,NA,NA
"111","ES",7,8,0,NA,NA,NA,NA,NA,NA,0.20084539508964,0.13845745220076,0.0465173258382,0.08646749979336,0.27034775251848,0.34641726183036,NA,NA,NA,NA,NA,NA
"112","ES",7.5,8,0,NA,NA,NA,NA,NA,NA,0.21507422416956,0.15542259456528,0.047666577417732,0.0875620251072,0.27691490440152,0.41263604331768,NA,NA,NA,NA,NA,NA
"113","ES",8,8,0,NA,NA,NA,NA,NA,NA,0.20850707228652,0.1751240502144,0.0656715188304,0.09686549027484,0.26049702469392,0.4350738122514,NA,NA,NA,NA,NA,NA
"114","ES",8.5,8,0,NA,NA,NA,NA,NA,NA,0.17731310084208,0.12751219906236,0.05144268975048,0.08427844916568,0.22601947730796,0.34094463526116,NA,NA,NA,NA,NA,NA
"115","ES",9,8,0,NA,NA,NA,NA,NA,NA,0.16472605973292,0.12149230983624,0.03748749199902,0.07990034791032,0.20741254697268,0.35790977762568,NA,NA,NA,NA,NA,NA
"116","ES",9.5,8,0,NA,NA,NA,NA,NA,NA,0.16527332238984,0.1258704110916,0.042905392302528,0.0875620251072,0.19537276852044,0.30044719864908,NA,NA,NA,NA,NA,NA
"117","ES",10,8,0,NA,NA,NA,NA,NA,NA,0.16308427176216,0.13298482563156,0.045094442930208,0.08427844916568,0.20686528431576,0.2982581480214,NA,NA,NA,NA,NA,NA
"118","ES",10.5,8,0,NA,NA,NA,NA,NA,NA,0.15651711987912,0.12149230983624,0.044109370147752,0.0738804586842,0.20577075900192,0.30865613850288,NA,NA,NA,NA,NA,NA
"119","ES",11,8,0,NA,NA,NA,NA,NA,NA,0.1532335439376,0.12203957249316,0.047174041026504,0.08318392385184,0.2106961229142,0.29169099613836,NA,NA,NA,NA,NA,NA
"120","ES",11.5,8,0,NA,NA,NA,NA,NA,NA,0.16472605973292,0.13517387625924,0.054124276769388,0.09248738901948,0.22383042668028,0.29114373348144,NA,NA,NA,NA,NA,NA
"121","ES",12,8,0,NA,NA,NA,NA,NA,NA,0.17074594895904,0.13572113891616,0.049855628045412,0.08044761056724,0.22930305324948,0.31577055304284,NA,NA,NA,NA,NA,NA
"122","ES",12.5,8,0,NA,NA,NA,NA,NA,NA,0.17074594895904,0.12970124969004,0.045751158118512,0.08373118650876,0.20139265774656,0.29059647082452,NA,NA,NA,NA,NA,NA
"123","ES",13,8,0,NA,NA,NA,NA,NA,NA,0.16910416098828,0.13189030031772,0.044711359070364,0.07442772134112,0.19482550586352,0.3475117871442,NA,NA,NA,NA,NA,NA
"124","ES",13.5,8,0,NA,NA,NA,NA,NA,NA,0.15925343316372,0.13024851234696,0.048870555262956,0.07223867071344,0.19756181914812,0.2927855214522,NA,NA,NA,NA,NA,NA
"125","ES",14,8,0,NA,NA,NA,NA,NA,NA,0.15761164519296,0.12203957249316,0.050129259373872,0.0711441453996,0.191541929922,0.31303423975824,NA,NA,NA,NA,NA,NA
"126","ES",14.5,8,0,NA,NA,NA,NA,NA,NA,0.15104449330992,0.12149230983624,0.046188968244048,0.07825855993956,0.19208919257892,0.2681587018908,NA,NA,NA,NA,NA,NA
"127","ES",15,8,0,NA,NA,NA,NA,NA,NA,0.1559698572222,0.1121888446686,0.04733821982358,0.07278593337036,0.1970145564912,0.25119355952628,NA,NA,NA,NA,NA,NA
"128","ES",15.5,8,0,NA,NA,NA,NA,NA,NA,0.1669151103606,0.123134097807,0.053577014112468,0.082089398538,0.2106961229142,0.28950194551068,NA,NA,NA,NA,NA,NA
"129","ES",16,8,0,NA,NA,NA,NA,NA,NA,0.16910416098828,0.13189030031772,0.054397908097848,0.08646749979336,0.21507422416956,0.31248697710132,NA,NA,NA,NA,NA,NA
"130","ES",16.5,8,0,NA,NA,NA,NA,NA,NA,0.19373098054968,0.16308427176216,0.05910436694736,0.09248738901948,0.2435318823294,0.34094463526116,NA,NA,NA,NA,NA,NA
"131","ES",17,8,0,NA,NA,NA,NA,NA,NA,0.21507422416956,0.14994996799608,0.06457699351656,0.09686549027484,0.26159155000776,0.41920319520072,NA,NA,NA,NA,NA,NA
"132","ES",17.5,8,0,NA,NA,NA,NA,NA,NA,0.22656673996488,0.17840762615592,0.06621878148732,0.1039799048148,0.30044719864908,0.43288476162372,NA,NA,NA,NA,NA,NA
"133","ES",18,8,0,NA,NA,NA,NA,NA,NA,0.24462640764324,0.18223846475436,0.054726265692,0.09796001558868,0.3037307745906,0.51771047344632,NA,NA,NA,NA,NA,NA
